"time"	"cell.id"	"boundary"	"b"	"b2"	"time"
10	53	292.5827108	2	12.27321238	10
10	54	292.5827108	0	0	10
10	55	292.5827108	1	3.948772679	10
10	56	292.5827108	2	2.934898613	10
10	57	292.5827108	2	11.47278549	10
10	58	292.5827108	2	11.47278549	10
10	59	292.5827108	3	7.897545358	10
10	60	292.5827108	0	0	10
10	61	292.5827108	3	6.883671291	10
10	62	292.5827108	0	0	10
10	63	292.5827108	0	0	10
10	64	292.5827108	2	9.818569904	10
10	65	292.5827108	1	12.113127	10
10	66	292.5827108	1	3.415154749	10
10	67	292.5827108	2	5.176093917	10
10	68	292.5827108	0	0	10
10	69	292.5827108	3	5.976520811	10
10	70	292.5827108	1	10.24546425	10
10	71	292.5827108	0	0	10
10	72	292.5827108	0	0	10
10	73	292.5827108	2	5.069370331	10
10	74	292.5827108	2	7.524012807	10
10	75	292.5827108	3	11.73959445	10
10	76	292.5827108	0	0	10
10	77	292.5827108	0	0	10
10	78	292.5827108	2	8.431163287	10
10	79	292.5827108	1	8.324439701	10
10	80	292.5827108	1	2.774813234	10
10	81	292.5827108	3	20.38420491	10
10	82	292.5827108	3	8.697972252	10
10	83	292.5827108	1	8.911419424	10
10	84	292.5827108	0	0	10
10	85	292.5827108	1	1.867662753	10
10	86	292.5827108	1	8.057630736	10
10	87	292.5827108	2	1.814300961	10
10	88	292.5827108	2	8.004268943	10
10	89	292.5827108	3	8.110992529	10
10	90	292.5827108	2	0.9071504803	10
10	91	292.5827108	2	11.47278549	10
10	92	292.5827108	3	12.70010672	10
10	93	292.5827108	2	4.909284952	10
10	94	292.5827108	0	0	10
10	95	292.5827108	2	10.56563501	10
10	96	292.5827108	2	7.470651014	10
10	97	292.5827108	0	0	10
10	98	292.5827108	4	13.92742796	10
10	99	292.5827108	1	1.013874066	10
10	100	292.5827108	2	2.027748132	10

20	1	1313.233725	4	30.62966916	20
20	2	1313.233725	2	32.12379936	20
20	3	1313.233725	4	34.41835646	20
20	4	1313.233725	5	8.217716115	20
20	5	1313.233725	1	11.04589114	20
20	6	1313.233725	4	23.95944504	20
20	7	1313.233725	3	36.65955176	20
20	8	1313.233725	4	33.19103522	20
20	9	1313.233725	2	4.429028815	20
20	10	1313.233725	3	23.85272145	20
20	11	1313.233725	4	32.81750267	20
20	12	1313.233725	1	0.1067235859	20
20	13	1313.233725	4	23.74599787	20
20	14	1313.233725	4	23.37246531	20
20	15	1313.233725	3	36.60618997	20
20	16	1313.233725	1	5.389541089	20
20	17	1313.233725	5	42.95624333	20
20	18	1313.233725	2	22.51867663	20
20	19	1313.233725	4	59.23159018	20
20	20	1313.233725	5	40.07470651	20
20	21	1313.233725	3	17.98292423	20
20	22	1313.233725	1	3.415154749	20
20	23	1313.233725	4	24.33297759	20
20	24	1313.233725	1	0.3735325507	20
20	25	1313.233725	4	39.32764141	20
20	26	1313.233725	5	15.74172892	20
20	27	1313.233725	4	29.45570971	20
20	28	1313.233725	6	43.00960512	20
20	29	1313.233725	2	21.29135539	20
20	30	1313.233725	5	45.14407684	20
20	31	1313.233725	1	13.18036286	20
20	32	1313.233725	2	36.01921025	20
20	33	1313.233725	5	25.13340448	20
20	34	1313.233725	8	33.03094984	20
20	35	1313.233725	2	13.92742796	20
20	36	1313.233725	3	9.978655283	20
20	37	1313.233725	4	47.49199573	20
20	38	1313.233725	4	18.83671291	20
20	39	1313.233725	2	18.62326574	20
20	40	1313.233725	4	21.82497332	20
20	41	1313.233725	3	36.81963714	20
20	42	1313.233725	4	43.64994664	20
20	43	1313.233725	3	29.24226254	20
20	44	1313.233725	4	30.68303095	20
20	45	1313.233725	4	16.22198506	20
20	46	1313.233725	2	24.226254	20
20	47	1313.233725	5	40.55496265	20
20	48	1313.233725	3	24.17289221	20
20	49	1313.233725	3	43.48986126	20
20	50	1313.233725	4	20.70437567	20
20	51	1313.233725	3	17.3959445	20
20	52	1313.233725	1	17.66275347	20
20	53	1313.233725	2	34.8452508	20
20	54	1313.233725	2	7.897545358	20
20	55	1313.233725	4	39.06083244	20
20	56	1313.233725	4	25.82710779	20
20	57	1313.233725	3	37.99359658	20
20	58	1313.233725	2	25.34685165	20
20	59	1313.233725	3	30.57630736	20
20	60	1313.233725	2	20.22411953	20
20	61	1313.233725	4	57.41728922	20
20	62	1313.233725	5	31.10992529	20
20	63	1313.233725	1	0.1600853789	20
20	64	1313.233725	5	48.77267876	20
20	65	1313.233725	4	22.99893276	20
20	66	1313.233725	1	4.482390608	20
20	67	1313.233725	4	38.79402348	20
20	68	1313.233725	5	19.15688367	20
20	69	1313.233725	5	18.62326574	20
20	70	1313.233725	5	43.59658485	20
20	71	1313.233725	2	11.15261473	20
20	72	1313.233725	2	9.01814301	20
20	73	1313.233725	6	32.44397012	20
20	74	1313.233725	2	18.03628602	20
20	75	1313.233725	4	36.01921025	20
20	76	1313.233725	1	5.22945571	20
20	77	1313.233725	2	16.38207044	20
20	78	1313.233725	3	44.98399146	20
20	79	1313.233725	2	21.87833511	20
20	80	1313.233725	5	61.15261473	20
20	81	1313.233725	6	36.55282818	20
20	82	1313.233725	3	26.09391676	20
20	83	1313.233725	2	28.0149413	20
20	84	1313.233725	6	32.07043757	20
20	85	1313.233725	3	16.16862327	20
20	86	1313.233725	5	21.1846318	20
20	87	1313.233725	4	31.0565635	20
20	88	1313.233725	4	24.2796158	20
20	89	1313.233725	3	19.15688367	20
20	90	1313.233725	4	45.03735326	20
20	91	1313.233725	3	27.64140875	20
20	92	1313.233725	4	51.33404482	20
20	93	1313.233725	3	22.09178228	20
20	94	1313.233725	2	15.52828175	20
20	95	1313.233725	2	22.94557097	20
20	96	1313.233725	6	16.16862327	20
20	97	1313.233725	3	2.34791889	20
20	98	1313.233725	4	28.86872999	20
20	99	1313.233725	5	17.4493063	20
20	100	1313.233725	4	31.00320171	20

30	1	1436.872999	5	33.45784418	30
30	2	1436.872999	2	23.15901814	30
30	3	1436.872999	5	34.63180363	30
30	4	1436.872999	4	11.95304162	30
30	5	1436.872999	2	15.36819637	30
